location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20200126T1200,9.260529,65.0,6.379216,106.38954
20200126T1300,9.640529,63.0,4.3349743,355.23636
20200126T1400,11.030529,63.0,7.42159,292.83368
20200126T1500,11.320529,64.0,6.130579,266.63354
20200126T1600,11.230529,64.0,5.00128,239.74356
20200126T1700,10.710529,67.0,3.0758414,200.55605
20200126T1800,10.380529,68.0,5.1544156,167.90524
20200126T1900,9.200529,70.0,9.47012,188.74615
20200126T2000,8.040529,73.0,11.983188,212.73523
20200126T2100,7.5805287,70.0,10.685391,212.61925
20200126T2200,7.2005286,73.0,10.739832,219.55966
20200126T2300,5.3305287,80.0,10.1376915,186.11551
20200127T0000,5.9505286,79.0,7.42159,165.96376
20200127T0100,6.7805285,75.0,6.28713,166.75948
20200127T0200,6.5105286,76.0,6.162207,173.29016
20200127T0300,7.0005283,75.0,5.634891,153.43495
20200127T0400,7.2405286,74.0,5.4477882,187.59465
20200127T0500,6.1005287,81.0,6.12,241.92752
20200127T0600,5.5805287,81.0,4.68,180.0
20200127T0700,5.4405284,79.0,8.534353,152.35402
20200127T0800,5.3505287,78.0,8.435069,140.19443
20200127T0900,5.3205285,80.0,9.449572,130.36453
20200127T1000,7.5505285,73.0,9.0,163.73979
20200127T1100,10.260529,63.0,13.049689,204.44395
20200127T1200,11.600529,58.0,17.826363,223.36343
20200127T1300,12.710529,51.0,14.565548,219.9869
20200127T1400,12.750529,49.0,20.390114,227.86241
20200127T1500,11.470529,52.0,17.884428,229.8991
20200127T1600,11.320529,51.0,20.380579,215.65533
20200127T1700,10.350529,56.0,24.344624,218.39517
20200127T1800,9.560529,57.0,18.171976,213.69006
20200127T1900,9.590529,55.0,22.42427,227.60257
20200127T2000,9.560529,63.0,26.178707,238.49574
20200127T2100,8.690529,67.0,31.160282,229.68591
20200127T2200,8.380529,65.0,34.897724,227.09016
20200127T2300,8.280529,66.0,33.864883,226.29218
20200128T0000,7.9005284,67.0,29.275326,225.49821
20200128T0100,7.3805285,69.0,26.518099,221.69814
20200128T0200,7.790529,73.0,29.257614,235.52779
20200128T0300,8.090529,67.0,35.815926,230.7106
20200128T0400,8.010529,67.0,32.28981,239.1458
20200128T0500,8.000528,68.0,30.121912,245.27267
20200128T0600,7.290529,69.0,29.957968,237.26477
20200128T0700,7.0905285,74.0,35.58359,244.21268
20200128T0800,7.1405287,72.0,36.776424,246.9487
20200128T0900,6.9805284,72.0,38.706276,251.56506
20200128T1000,7.0605288,70.0,38.936623,252.23514
20200128T1100,5.7305284,79.0,36.758804,261.5525
20200128T1200,3.8905284,84.0,33.847656,271.21887
20200128T1300,6.2505283,71.0,35.281837,269.41537
20200128T1400,5.6105285,75.0,33.48,270.0
20200128T1500,6.0605288,68.0,37.827415,267.81836
20200128T1600,5.9205284,68.0,37.8,270.0
20200128T1700,4.540529,76.0,36.44722,266.03534
20200128T1800,4.2505283,76.0,34.292713,265.78583
20200128T1900,4.5605288,74.0,34.651752,265.8296
20200128T2000,3.9205287,77.0,32.49785,265.5526
20200128T2100,3.9305286,79.0,29.339449,263.65982
20200128T2200,4.540529,81.0,32.43398,261.06042
20200128T2300,4.5105286,82.0,23.749088,255.96376
20200129T0000,4.6205287,82.0,30.190672,261.7733
20200129T0100,4.7405286,83.0,34.567497,271.19348
20200129T0200,4.5105286,84.0,32.039997,270.0
20200129T0300,4.5505285,81.0,31.452133,275.25378
20200129T0400,3.4305286,85.0,29.834423,278.32565
20200129T0500,2.8105285,85.0,24.569832,280.98065
20200129T0600,3.1505284,86.0,22.366402,273.6914
20200129T0700,3.4205287,84.0,26.478973,277.0284
20200129T0800,3.2705286,84.0,23.469128,274.3987
20200129T0900,3.8705285,82.0,25.199999,270.0
20200129T1000,4.4805284,77.0,26.649727,271.54816
20200129T1100,4.8605285,76.0,26.28,270.0
20200129T1200,5.5205283,72.0,30.735231,275.3767
20200129T1300,7.4205284,66.0,28.521906,274.34326
20200129T1400,7.4005284,67.0,27.77838,273.7153
20200129T1500,7.3705287,71.0,26.341572,273.91827
20200129T1600,7.2605286,72.0,23.499481,275.2739
20200129T1700,6.8905287,74.0,21.707731,275.7106
20200129T1800,6.0505285,78.0,17.339897,265.23636
20200129T1900,5.7305284,80.0,17.163355,260.34012
20200129T2000,5.5005283,81.0,17.873556,260.72742
20200129T2100,5.290529,82.0,16.595179,257.4712
20200129T2200,4.9205284,84.0,13.910169,259.56253
20200129T2300,4.9505286,86.0,10.594036,260.2176
20200130T0000,4.9005284,87.0,10.587917,252.18112
20200130T0100,5.1205287,87.0,9.605998,257.00537
20200130T0200,4.9005284,85.0,8.404285,226.73572
20200130T0300,4.5805287,82.0,7.928177,219.47246
20200130T0400,3.5305285,81.0,7.5599995,180.0
20200130T0500,2.0705285,84.0,7.754637,158.1986
20200130T0600,2.2305286,81.0,7.42159,129.09386
20200130T0700,2.9305286,73.0,10.365251,110.323135
20200130T0800,2.6605287,74.0,11.298495,112.47943
20200130T0900,2.5105286,84.0,10.787993,115.70995
20200130T1000,4.7805285,84.0,11.91812,115.01689
20200130T1100,8.460529,73.0,11.709688,135.0
20200130T1200,11.240529,44.0,18.671474,213.99646
20200130T1300,10.730529,60.0,8.39657,120.96376
20200130T1400,12.480529,52.0,7.2,143.1301
20200130T1500,13.190529,51.0,8.707238,187.12502
20200130T1600,14.090529,45.0,19.33639,241.04901
20200130T1700,10.860529,61.0,22.392464,216.50143
20200130T1800,9.3005295,66.0,25.455843,225.0
20200130T1900,9.640529,73.0,18.391737,229.76364
20200130T2000,10.520529,78.0,20.570463,237.14429
20200130T2100,11.190529,77.0,23.993399,242.2815
20200130T2200,11.400529,76.0,24.967499,245.28256
20200130T2300,11.400529,77.0,23.73271,247.71442
20200131T0000,11.570529,78.0,22.73707,246.68228
20200131T0100,11.610529,77.0,24.795612,244.17902
20200131T0200,11.790529,76.0,26.525429,251.81096
20200131T0300,11.450529,78.0,24.821732,250.51387
20200131T0400,11.020529,78.0,21.659916,248.55226
20200131T0500,10.810529,79.0,20.037485,252.21611
20200131T0600,10.5505295,79.0,18.720001,247.38014
